batch	variable	values	sd
1	NoSpline	32.3333333333333	73.9290200124417
1	Splines	6.22222222222222	5.93249057685256
2	NoSpline	0.4	0.882579950158088
2	Splines	0.5	1
3	NoSpline	0.785714285714286	0.801783725737273
3	Splines	0.714285714285714	0.825420305855557
4	NoSpline	0.636363636363636	1.02691063610494
4	Splines	0.454545454545455	0.522232967867094
7	NoSpline	1.38461538461538	1.32529629004621
7	Splines	1.07692307692308	0.862316498502576
9	NoSpline	2.65	3.03098038681598
9	Splines	1.9	2.29186203313973
10	NoSpline	0.875	1.62788205960997
10	Splines	0.75	1.39044357430761
11	NoSpline	0.4	0.753937034925052
11	Splines	0.4	0.753937034925052
12	NoSpline	2.95	10.4300931014667
12	Splines	0.35	0.745159820370595
99	NoSpline	0.220865704772475	2.01963905596748
99	Splines	0.160932297447281	1.34481093957071
