gene	pvalue
1	0.300638252964289
2	0.280758857998007
3	0.312930777818351
4	0.540336589690245
5	0.00882772257029701
6	0.00295071053195211
7	0.842305983248748
8	0.585971982646589
9	4.12634853706116e-05
10	0.765425761191155
11	0.000632564580770529
12	0.941358877027663
13	0.264001054567711
14	0.283286458367297
15	0.567852719601211
16	0.223922753330095
17	0.88822954673624
18	0.160971853688581
19	0.953315908969294
20	0.000572796621299329
21	0.205690831223086
22	0.49886959931746
23	0.127896019853282
24	0.97070317154157
25	0.933530125494161
26	0.176063519926537
27	0.402579280126359
28	0.990215754989347
29	0.648639309342636
30	0.978632290864659
31	0.543272226019894
32	0.971879087463515
33	0.662813967491712
34	0.255199968665295
35	0.330148564210071
36	0.47034232545936
37	0.147437052506468
38	0.0117569015022389
39	5.80973232017269e-05
40	0.196928155147125
41	0.132625115086268
42	0.689675036284588
43	0.979399448824965
44	0.489355205840112
45	0.204222371457124
46	0.254183062591318
47	0.0327331901540229
48	0.812181632325492
49	0.814293773327023
50	0.37642095509804
51	0.00270340131528964
52	0.322615341960028
53	0.0357455399652426
54	0.393794543624862
55	0.13108639678597
56	0.0202974056100719
57	0.0106843961455107
58	0.131484989546483
59	0.0577657642664529
60	0.747713811038252
61	0.79828660767876
62	0.156292092401358
63	0.143146912735693
64	0.916954849735125
65	0.961387611129234
66	0.228218616078353
67	0.792197597263632
68	0.158330615821207
69	3.94030220997431e-08
70	0.0870946225662153
71	0.570093737319562
72	0.225621658499992
73	0.261904620879942
74	0.717567155099318
75	0.770427668329587
76	0.930546708820378
77	0.663163023027771
78	3.59524426956319e-05
79	0.457568625288803
80	0.555559312430861
81	0.842305983248748
82	0.00763804812672709
83	0.740407008321174
84	0.127381059091065
85	0.00107919727370305
86	0.125050379120231
87	0.549438328346659
88	0.334077907283354
89	0.473593439201643
90	0.199497099851413
91	0.0730965834279901
92	2.63722807142453e-15
93	0.971840761537815
94	0.365102613007774
95	0.125589208320523
96	0.083051954888071
97	0.03343956829773
98	0.608070712842752
99	0.551296441769961
100	0.543622011282136
101	0.321191016938234
102	0.423493673876391
103	0.828838496044906
104	0.460865948989871
105	0.560191258440933
106	0.384078996619492
107	0.54440834365026
108	0.0361352827726915
109	0.0353010565163844
110	1.57562228893695e-08
111	0.745268170059193
112	0.18089816749636
113	0.761162955333312
114	0.0347988461818184
115	0.122835229256106
116	3.72357677402439e-05
117	0.521612155000248
118	0.59429552768074
119	0.389026776448228
120	0.016481943534458
121	0.259430374746998
122	0.641747159688357
123	0.584784279467214
124	0.870411499825675
125	0.113301278882016
126	0.471136909210107
127	0.0123230768962857
128	0.272991211317146
129	0.801441986363318
130	0.268996250616731
131	7.05628232693407e-05
132	0.852267363454507
133	2.44078781142545e-05
134	0.878950646116254
135	0.404218487380653
136	0.0193259592039729
137	0.490041045203141
138	0.110377753885863
139	0.0216460257429113
140	0.00826940677566199
141	0.0694535821896157
142	0.812300747516099
143	0.704870233712827
144	0.971055860607401
145	0.684613637991635
146	0.00396592485594637
147	0.127131900811475
148	0.878069246281629
149	0.137323537960856
150	0.269911873867409
151	0.504214232032256
152	0.33374475132904
153	0.0055519480038046
154	0.877281035926742
155	0.00021118584193388
156	0.0159885377814751
157	0.114170517407949
158	0.0458830677634244
159	0.77876739324295
160	0.301248250482246
161	0.700254602092599
162	1.42561244705708e-05
163	0.0307948616896677
164	0.211813583507125
165	0.506392036572854
166	0.0670165506917924
167	0.00970204686758053
168	0.000868923372695234
169	0.543483948656664
170	0.727034453734135
171	0.357686885243422
172	0.0316981273888369
173	0.0336216350328786
174	0.486268357453268
175	0.641939708880542
176	0.569859710700543
177	5.90691398980794e-05
178	0.0770279681558803
179	0.363499635546222
180	4.20559127088105e-10
181	0.00226747716450178
182	0.766088570581458
183	0.501745165478145
184	0.217038853849122
185	0.0894910834357076
186	0.837408652123962
187	0.338543585553466
188	0.0577657642664529
189	0.764786583929472
190	0.325667966173262
191	0.669547805339104
192	0.976238687621806
193	0.651951267625173
194	0.103618616223505
195	0.0588273719859676
196	1.61372905531613e-10
197	0.363701824223236
198	2.94671435826179e-06
199	0.0766411889549556
200	0.719799199809255
201	0.677116959326741
202	0.67478940049317
203	0.673362905391925
204	0.203292695088484
205	0.149920582271077
