gene_id	variable	value
1	r2_diff	0.147206462217374
2	r2_diff	0.132930231971773
3	r2_diff	0.128839774044872
4	r2_diff	0.128826259238497
5	r2_diff	0.128228347699819
6	r2_diff	0.127957652604811
7	r2_diff	0.12643973384726
8	r2_diff	0.126109039737758
9	r2_diff	0.124971049017873
10	r2_diff	0.123117262571932
11	r2_diff	0.121376693894171
12	r2_diff	0.121160429346648
13	r2_diff	0.120025555038372
14	r2_diff	0.119786944852417
15	r2_diff	0.119517219511327
16	r2_diff	0.119478363083612
17	r2_diff	0.119278147763327
18	r2_diff	0.119265652694267
19	r2_diff	0.119246420508164
20	r2_diff	0.118651436962701
21	r2_diff	0.118234820811021
22	r2_diff	0.118145348503776
23	r2_diff	0.117528411342445
24	r2_diff	0.117398243065882
25	r2_diff	0.117384781843283
26	r2_diff	0.116996144328727
27	r2_diff	0.11676622987095
28	r2_diff	0.116480353380226
29	r2_diff	0.11634127102385
30	r2_diff	0.116178048062127
31	r2_diff	0.115916215827322
32	r2_diff	0.115710343763126
33	r2_diff	0.115642890789054
34	r2_diff	0.115289830439879
35	r2_diff	0.114722899685885
36	r2_diff	0.114395891143431
37	r2_diff	0.114361020850564
38	r2_diff	0.114246427547721
39	r2_diff	0.114194538698116
40	r2_diff	0.113788461072627
41	r2_diff	0.113646933473026
42	r2_diff	0.113613700523116
43	r2_diff	0.113377071560818
44	r2_diff	0.113249803599487
45	r2_diff	0.113227745245666
46	r2_diff	0.113089040625329
47	r2_diff	0.112698180782674
48	r2_diff	0.112573149774961
49	r2_diff	0.112433118020691
50	r2_diff	0.112379497529045
51	r2_diff	0.112042968628064
52	r2_diff	0.111916855187865
53	r2_diff	0.111790872779002
54	r2_diff	0.111715175229676
55	r2_diff	0.111587470949713
56	r2_diff	0.111472419253625
57	r2_diff	0.111425482254138
58	r2_diff	0.111373616441824
59	r2_diff	0.11116350329063
60	r2_diff	0.11105626990747
61	r2_diff	0.110741206382222
62	r2_diff	0.110733479142543
63	r2_diff	0.110683528248207
64	r2_diff	0.110538865034249
65	r2_diff	0.110239544165137
66	r2_diff	0.110212125841961
67	r2_diff	0.110198081929874
68	r2_diff	0.110163827700726
69	r2_diff	0.10993643897059
70	r2_diff	0.109887532293811
71	r2_diff	0.109781316363535
72	r2_diff	0.109717138530718
73	r2_diff	0.109686043372794
74	r2_diff	0.109631896978495
75	r2_diff	0.10959223064244
76	r2_diff	0.109511919383538
77	r2_diff	0.109506624813242
78	r2_diff	0.109492223067763
79	r2_diff	0.109458010529909
80	r2_diff	0.10945177043647
81	r2_diff	0.109424044398503
82	r2_diff	0.108755566235817
83	r2_diff	0.108738786296489
84	r2_diff	0.108454588806868
85	r2_diff	0.108355878959907
86	r2_diff	0.10824294910047
87	r2_diff	0.108131472654628
88	r2_diff	0.108123292254896
89	r2_diff	0.108108715563296
90	r2_diff	0.10801484343237
91	r2_diff	0.107748054323166
92	r2_diff	0.10769964681001
93	r2_diff	0.107592551178355
94	r2_diff	0.107578020547195
95	r2_diff	0.10728125397034
96	r2_diff	0.107277203720456
97	r2_diff	0.10701160081915
98	r2_diff	0.106932671073916
99	r2_diff	0.106910664959889
100	r2_diff	0.106881961099801
101	r2_diff	0.106876052594764
102	r2_diff	0.106777655262412
103	r2_diff	0.106660015625936
104	r2_diff	0.106644535863165
105	r2_diff	0.106612381352292
106	r2_diff	0.106530046963569
107	r2_diff	0.106476985637417
108	r2_diff	0.106449871085249
109	r2_diff	0.106431620899519
110	r2_diff	0.106364310161778
111	r2_diff	0.106250767462122
112	r2_diff	0.106237202565404
113	r2_diff	0.106181581217607
114	r2_diff	0.106084266175667
115	r2_diff	0.106052779170129
116	r2_diff	0.106037990190597
117	r2_diff	0.105955635462517
