Var1	Var2	value
PC1	concentration	-0.00257536312752092
PC2	concentration	-0.346094458653012
PC3	concentration	0.132816306369623
PC4	concentration	-0.0295165091347405
PC5	concentration	0.101544226033915
PC6	concentration	0.0607960013253609
PC7	concentration	0.0473221167253963
PC8	concentration	-0.0955140249250132
PC9	concentration	-0.14275841692836
PC10	concentration	0.262835734297126
PC1	RIN	0.614171522621758
PC2	RIN	0.00629582604928839
PC3	RIN	0.313492297256025
PC4	RIN	0.0215033844391302
PC5	RIN	0.0311517653074004
PC6	RIN	-0.117273532650222
PC7	RIN	0.0282504084328191
PC8	RIN	-0.138966426239592
PC9	RIN	-0.117210098437861
PC10	RIN	-0.0410553135007661
PC1	age	-0.781885271133483
PC2	age	-0.151379122800929
PC3	age	0.0238648916669058
PC4	age	-0.000712276705471448
PC5	age	0.140998863279138
PC6	age	-0.0162860091898851
PC7	age	-0.0254044687335267
PC8	age	0.113452057205752
PC9	age	0.118992486823246
PC10	age	0.064600313096381
PC1	sex	-0.0618574552898667
PC2	sex	0.0721114475504748
PC3	sex	-0.115217544870075
PC4	sex	-0.0975369295944752
PC5	sex	0.0699102307432877
PC6	sex	-0.00950787713633387
PC7	sex	0.0910535423504947
PC8	sex	0.130733732032725
PC9	sex	-0.0135686540610766
PC10	sex	-0.0707361009701267
PC1	affected_status	-0.590666451571817
PC2	affected_status	-0.237211719111151
PC3	affected_status	-0.0883770309310556
PC4	affected_status	0.0517493839114713
PC5	affected_status	0.125754782484694
PC6	affected_status	0.0401319945659705
PC7	affected_status	-0.0921626682999567
PC8	affected_status	0.00567487986294212
PC9	affected_status	-0.0297030639936859
PC10	affected_status	0.0262244201717233
PC1	read_length	0.751716346434089
PC2	read_length	0.178067357324202
PC3	read_length	-0.0285301516894697
PC4	read_length	0.140177433516256
PC5	read_length	0.113155210013611
PC6	read_length	0.0375755098501156
PC7	read_length	-0.119843939409347
PC8	read_length	-0.0416009473740521
PC9	read_length	-0.0740323879531761
PC10	read_length	-0.413079041643984
PC1	batch2	0.137813499612882
PC2	batch2	-0.0558078965109056
PC3	batch2	0.130612191167115
PC4	batch2	-0.181432984999869
PC5	batch2	-0.0525303328751205
PC6	batch2	0.0538390981335773
PC7	batch2	0.12257296277431
PC8	batch2	0.0402417014541345
PC9	batch2	0.092414751954495
PC10	batch2	0.309363930489187
PC1	batch3	0.175372471450311
PC2	batch3	-0.133593733646028
PC3	batch3	0.134977314255549
PC4	batch3	0.0778068034783565
PC5	batch3	-0.177191064709625
PC6	batch3	-0.184180651149381
PC7	batch3	0.15580794797198
PC8	batch3	-0.0415849766028231
PC9	batch3	0.131463954413329
PC10	batch3	0.41332730565294
PC1	batch4	0.175733337391505
PC2	batch4	0.0460160873966361
PC3	batch4	-0.135191172836285
PC4	batch4	0.00104166692577149
PC5	batch4	0.0151778169885286
PC6	batch4	0.0389109257861873
PC7	batch4	-0.00130913381756123
PC8	batch4	0.0636846247781913
PC9	batch4	0.0265460957595417
PC10	batch4	-0.08244718609473
PC1	batch5	0.220445949620083
PC2	batch5	-0.164096994043778
PC3	batch5	0.0570580536641205
PC4	batch5	0.24801864085513
PC5	batch5	-0.256132178959428
PC6	batch5	-0.256994779748256
PC7	batch5	0.00449372537157608
PC8	batch5	-0.0261909237318156
PC9	batch5	0.284932779167369
PC10	batch5	0.0473665431012547
PC1	batch6	0.198753798848261
PC2	batch6	-0.337211228652139
PC3	batch6	0.218600725057602
PC4	batch6	0.165313502088768
PC5	batch6	0.143745801711123
PC6	batch6	-0.0468155827486816
PC7	batch6	-0.0962805401170971
PC8	batch6	-0.202310411574063
PC9	batch6	-0.341891962173279
PC10	batch6	-0.145782830430028
PC1	batch7	0.212286682664624
PC2	batch7	0.198552072529974
PC3	batch7	-0.35613573996606
PC4	batch7	0.0969773374056183
PC5	batch7	-0.046514350141327
PC6	batch7	-0.0143421927680878
PC7	batch7	-0.00117841135738148
PC8	batch7	-0.00949878909892805
PC9	batch7	0.0376374288836485
PC10	batch7	-0.095330965380105
PC1	batch8	0.256874585437358
PC2	batch8	0.0307340320445893
