Figure2C		
FILTER	SAMPLE	PERCENT
EXP_OUTLIER_ASE	samp18	17.70401107
EXP_OUTLIER_RIVER	samp18	37.55186722
EXP_OUTLIER_HPO	samp18	2.97372061
EXP_OUTLIER_RV	samp18	14.3153527
EXP_OUTLIER_RV_CADD	samp18	2.90456432
EXP_OUTLIER_RV_CADD_HPO	samp18	0.27662517
EXP_OUTLIER_PLI	samp19	16.56184486
EXP_OUTLIER_ASE	samp19	29.14046122
EXP_OUTLIER_RIVER	samp19	44.65408805
EXP_OUTLIER_HPO	samp19	2.51572327
EXP_OUTLIER_RV	samp19	24.52830189
EXP_OUTLIER_RV_CADD	samp19	3.14465409
EXP_OUTLIER_RV_CADD_HPO	samp19	0
EXP_OUTLIER_PLI	samp20	11.59969674
EXP_OUTLIER_ASE	samp20	16.37604246
EXP_OUTLIER_RIVER	samp20	29.71948446
EXP_OUTLIER_HPO	samp20	2.35026535
EXP_OUTLIER_RV	samp20	13.26762699
EXP_OUTLIER_RV_CADD	samp20	2.57771039
EXP_OUTLIER_RV_CADD_HPO	samp20	0.15163002
EXP_OUTLIER_PLI	samp21	18.87905605
EXP_OUTLIER_ASE	samp21	29.79351032
EXP_OUTLIER_RIVER	samp21	48.52507375
EXP_OUTLIER_HPO	samp21	3.39233038
EXP_OUTLIER_RV	samp21	34.36578171
EXP_OUTLIER_RV_CADD	samp21	8.40707965
EXP_OUTLIER_RV_CADD_HPO	samp21	0.5899705
EXP_OUTLIER_PLI	samp22	15.11056511
EXP_OUTLIER_ASE	samp22	35.87223587
EXP_OUTLIER_RIVER	samp22	66.70761671
EXP_OUTLIER_HPO	samp22	7.37100737
EXP_OUTLIER_RV	samp22	49.14004914
EXP_OUTLIER_RV_CADD	samp22	10.07371007
EXP_OUTLIER_RV_CADD_HPO	samp22	1.10565111
EXP_OUTLIER_PLI	samp23	13.03560652
EXP_OUTLIER_ASE	samp23	17.44115872
EXP_OUTLIER_RIVER	samp23	11.58720579
EXP_OUTLIER_HPO	samp23	12.009656
EXP_OUTLIER_RV	samp23	5.37115269
EXP_OUTLIER_RV_CADD	samp23	2.5950513
EXP_OUTLIER_RV_CADD_HPO	samp23	0.42245021
EXP_OUTLIER_PLI	samp24	14.31980907
EXP_OUTLIER_ASE	samp24	26.01431981
EXP_OUTLIER_RIVER	samp24	11.575179
EXP_OUTLIER_HPO	samp24	8.4725537
EXP_OUTLIER_RV	samp24	5.84725537
EXP_OUTLIER_RV_CADD	samp24	2.38663484
EXP_OUTLIER_RV_CADD_HPO	samp24	0.47732697
EXP_OUTLIER_PLI	samp25	15.56886228
EXP_OUTLIER_ASE	samp25	20.70145423
EXP_OUTLIER_RIVER	samp25	9.66638152
EXP_OUTLIER_HPO	samp25	7.52780154
EXP_OUTLIER_RV	samp25	2.48075278
EXP_OUTLIER_RV_CADD	samp25	1.36869119
EXP_OUTLIER_RV_CADD_HPO	samp25	0.1710864
EXP_OUTLIER_PLI	samp26	18.22125813
EXP_OUTLIER_ASE	samp26	29.60954447
EXP_OUTLIER_RIVER	samp26	12.79826464
EXP_OUTLIER_HPO	samp26	12.25596529
EXP_OUTLIER_RV	samp26	6.18221258
EXP_OUTLIER_RV_CADD	samp26	2.92841649
EXP_OUTLIER_RV_CADD_HPO	samp26	0.75921909
EXP_OUTLIER_PLI	samp27	15.56372549
EXP_OUTLIER_ASE	samp27	20.40441176
EXP_OUTLIER_RIVER	samp27	11.8872549
EXP_OUTLIER_HPO	samp27	7.78186275
EXP_OUTLIER_RV	samp27	7.29166667
EXP_OUTLIER_RV_CADD	samp27	2.94117647
EXP_OUTLIER_RV_CADD_HPO	samp27	0.30637255
EXP_OUTLIER_PLI	samp28	18.86446886
EXP_OUTLIER_ASE	samp28	71.97802198
EXP_OUTLIER_RIVER	samp28	58.79120879
EXP_OUTLIER_HPO	samp28	9.70695971
EXP_OUTLIER_RV	samp28	34.06593407
EXP_OUTLIER_RV_CADD	samp28	5.86080586
EXP_OUTLIER_RV_CADD_HPO	samp28	0.91575092
EXP_OUTLIER_PLI	samp29	15.05376344
EXP_OUTLIER_ASE	samp29	34.94623656
EXP_OUTLIER_RIVER	samp29	10.21505376
EXP_OUTLIER_HPO	samp29	8.33333333
EXP_OUTLIER_RV	samp29	3.89784946
EXP_OUTLIER_RV_CADD	samp29	1.61290323
EXP_OUTLIER_RV_CADD_HPO	samp29	0.1344086
EXP_OUTLIER_PLI	samp30	12.83068783
EXP_OUTLIER_ASE	samp30	35.31746032
EXP_OUTLIER_RIVER	samp30	8.73015873
EXP_OUTLIER_HPO	samp30	9.92063492
EXP_OUTLIER_RV	samp30	3.7037037
EXP_OUTLIER_RV_CADD	samp30	1.98412698
EXP_OUTLIER_RV_CADD_HPO	samp30	0.52910053
EXP_OUTLIER_PLI	samp31	17.55253399
EXP_OUTLIER_ASE	samp31	30.03708282
EXP_OUTLIER_RIVER	samp31	10.25957973
EXP_OUTLIER_HPO	samp31	9.88875155
EXP_OUTLIER_RV	samp31	4.07911001
EXP_OUTLIER_RV_CADD	samp31	1.48331273
EXP_OUTLIER_RV_CADD_HPO	samp31	0.37082818
EXP_OUTLIER_PLI	samp32	14.03743316
EXP_OUTLIER_ASE	samp32	32.88770053
EXP_OUTLIER_RIVER	samp32	8.95721925
EXP_OUTLIER_HPO	samp32	8.02139037
EXP_OUTLIER_RV	samp32	4.54545455
EXP_OUTLIER_RV_CADD	samp32	2.13903743
EXP_OUTLIER_RV_CADD_HPO	samp32	0.26737968
EXP_OUTLIER_PLI	samp33	15.57120501
EXP_OUTLIER_ASE	samp33	25.82159624
EXP_OUTLIER_RIVER	samp33	5.94679186
EXP_OUTLIER_HPO	samp33	10.01564945
EXP_OUTLIER_RV	samp33	0.86071987
EXP_OUTLIER_RV_CADD	samp33	0.39123631
EXP_OUTLIER_RV_CADD_HPO	samp33	0
EXP_OUTLIER_PLI	samp34	17.37288136
EXP_OUTLIER_ASE	samp34	19.35028249
EXP_OUTLIER_RIVER	samp34	7.34463277
EXP_OUTLIER_HPO	samp34	0.14124294
EXP_OUTLIER_RV	samp34	2.61299435
EXP_OUTLIER_RV_CADD	samp34	1.05932203
EXP_OUTLIER_RV_CADD_HPO	samp34	0
EXP_OUTLIER_PLI	samp35	15.46134663
EXP_OUTLIER_ASE	samp35	14.65087282
EXP_OUTLIER_RIVER	samp35	5.61097257
EXP_OUTLIER_HPO	samp35	0.37406484
EXP_OUTLIER_RV	samp35	1.55860349
EXP_OUTLIER_RV_CADD	samp35	0.81047382
EXP_OUTLIER_RV_CADD_HPO	samp35	0
EXP_OUTLIER_PLI	samp36	13.44319167
EXP_OUTLIER_ASE	samp36	18.64700781
EXP_OUTLIER_RIVER	samp36	4.94362533
EXP_OUTLIER_HPO	samp36	11.10147441
EXP_OUTLIER_RV	samp36	1.1274935
EXP_OUTLIER_RV_CADD	samp36	0.69384215
EXP_OUTLIER_RV_CADD_HPO	samp36	0.08673027
EXP_OUTLIER_PLI	samp37	15.15397083
EXP_OUTLIER_ASE	samp37	18.23338736
EXP_OUTLIER_RIVER	samp37	5.75364668
EXP_OUTLIER_HPO	samp37	5.51053485
EXP_OUTLIER_RV	samp37	2.10696921
EXP_OUTLIER_RV_CADD	samp37	0.81037277
EXP_OUTLIER_RV_CADD_HPO	samp37	0.16207455
EXP_OUTLIER_PLI	samp38	13.2122213
EXP_OUTLIER_ASE	samp38	28.15854666
EXP_OUTLIER_RIVER	samp38	5.28488852
EXP_OUTLIER_HPO	samp38	9.41370768
EXP_OUTLIER_RV	samp38	1.4863749
EXP_OUTLIER_RV_CADD	samp38	0.4954583
EXP_OUTLIER_RV_CADD_HPO	samp38	0
EXP_OUTLIER_PLI	samp39	13.76811594
EXP_OUTLIER_ASE	samp39	18.84057971
EXP_OUTLIER_RIVER	samp39	3.44202899
EXP_OUTLIER_HPO	samp39	6.88405797
EXP_OUTLIER_RV	samp39	0.99637681
EXP_OUTLIER_RV_CADD	samp39	0.09057971
EXP_OUTLIER_RV_CADD_HPO	samp39	0
EXP_OUTLIER_PLI	samp40	10.02805049
EXP_OUTLIER_ASE	samp40	0
EXP_OUTLIER_RIVER	samp40	52.66479663
EXP_OUTLIER_HPO	samp40	11.78120617
EXP_OUTLIER_RV	samp40	29.45301543
EXP_OUTLIER_RV_CADD	samp40	3.57643759
EXP_OUTLIER_RV_CADD_HPO	samp40	0.7713885
EXP_OUTLIER_PLI	samp41	14.41731921
EXP_OUTLIER_ASE	samp41	0
EXP_OUTLIER_RIVER	samp41	3.4546292
EXP_OUTLIER_HPO	samp41	8.33717181
EXP_OUTLIER_RV	samp41	1.33578996
EXP_OUTLIER_RV_CADD	samp41	0.32243206
EXP_OUTLIER_RV_CADD_HPO	samp41	0.09212345
EXP_OUTLIER_PLI	samp42	13.88390186
EXP_OUTLIER_ASE	samp42	0
EXP_OUTLIER_RIVER	samp42	4.12926391
EXP_OUTLIER_HPO	samp42	6.22381807
EXP_OUTLIER_RV	samp42	1.07719928
EXP_OUTLIER_RV_CADD	samp42	0.17953321
EXP_OUTLIER_RV_CADD_HPO	samp42	0
EXP_OUTLIER_PLI	samp43	13.65638767
EXP_OUTLIER_ASE	samp43	32.85084959
EXP_OUTLIER_RIVER	samp43	64.44304594
EXP_OUTLIER_HPO	samp43	5.09754563
EXP_OUTLIER_RV	samp43	43.54940214
EXP_OUTLIER_RV_CADD	samp43	9.25110132
EXP_OUTLIER_RV_CADD_HPO	samp43	0.88105727
EXP_OUTLIER_PLI	samp44	14.61748634
EXP_OUTLIER_ASE	samp44	31.42076503
EXP_OUTLIER_RIVER	samp44	62.5
EXP_OUTLIER_HPO	samp44	11.06557377
EXP_OUTLIER_RV	samp44	51.91256831
EXP_OUTLIER_RV_CADD	samp44	13.93442623
EXP_OUTLIER_RV_CADD_HPO	samp44	1.8442623
EXP_OUTLIER_PLI	samp45	16.04538088
EXP_OUTLIER_ASE	samp45	0
EXP_OUTLIER_RIVER	samp45	7.13128039
EXP_OUTLIER_HPO	samp45	6.15883306
EXP_OUTLIER_RV	samp45	0.64829822
EXP_OUTLIER_RV_CADD	samp45	0.16207455
EXP_OUTLIER_RV_CADD_HPO	samp45	0
EXP_OUTLIER_PLI	samp46	12.15846995
EXP_OUTLIER_ASE	samp46	24.79508197
EXP_OUTLIER_RIVER	samp46	7.5136612
EXP_OUTLIER_HPO	samp46	10.58743169
EXP_OUTLIER_RV	samp46	4.3715847
EXP_OUTLIER_RV_CADD	samp46	2.11748634
EXP_OUTLIER_RV_CADD_HPO	samp46	0.54644809
EXP_OUTLIER_PLI	samp47	13.40555179
EXP_OUTLIER_ASE	samp47	0
EXP_OUTLIER_RIVER	samp47	4.8070413
EXP_OUTLIER_HPO	samp47	9.07244414
EXP_OUTLIER_RV	samp47	0.9478673
EXP_OUTLIER_RV_CADD	samp47	0.33852404
EXP_OUTLIER_RV_CADD_HPO	samp47	0
EXP_OUTLIER_PLI	samp48	14.63644948
EXP_OUTLIER_ASE	samp48	41.7374882
EXP_OUTLIER_RIVER	samp48	58.82908404
EXP_OUTLIER_HPO	samp48	10.4815864
EXP_OUTLIER_RV	samp48	38.24362606
EXP_OUTLIER_RV_CADD	samp48	6.32672332
EXP_OUTLIER_RV_CADD_HPO	samp48	0.94428706
EXP_OUTLIER_PLI	samp49	13.64877161
EXP_OUTLIER_ASE	samp49	47.04276615
EXP_OUTLIER_RIVER	samp49	59.05368517
EXP_OUTLIER_HPO	samp49	11.19199272
EXP_OUTLIER_RV	samp49	39.94540491
EXP_OUTLIER_RV_CADD	samp49	6.09645132
EXP_OUTLIER_RV_CADD_HPO	samp49	1.36487716
EXP_OUTLIER_PLI	samp50	11.69125993
EXP_OUTLIER_ASE	samp50	9.76163451
EXP_OUTLIER_RIVER	samp50	8.05902384
EXP_OUTLIER_HPO	samp50	8.96708286
EXP_OUTLIER_RV	samp50	2.38365494
EXP_OUTLIER_RV_CADD	samp50	0.79455165
EXP_OUTLIER_RV_CADD_HPO	samp50	0.11350738
EXP_OUTLIER_PLI	samp51	14.46028513
EXP_OUTLIER_ASE	samp51	15.88594705
EXP_OUTLIER_RIVER	samp51	56.6191446
EXP_OUTLIER_HPO	samp51	1.42566191
EXP_OUTLIER_RV	samp51	36.04887984
EXP_OUTLIER_RV_CADD	samp51	4.9898167
EXP_OUTLIER_RV_CADD_HPO	samp51	0
EXP_OUTLIER_PLI	samp52	15.05681818
EXP_OUTLIER_ASE	samp52	41.66666667
EXP_OUTLIER_RIVER	samp52	62.59469697
EXP_OUTLIER_HPO	samp52	7.76515152
EXP_OUTLIER_RV	samp52	48.95833333
EXP_OUTLIER_RV_CADD	samp52	10.3219697
EXP_OUTLIER_RV_CADD_HPO	samp52	2.27272727
EXP_OUTLIER_PLI	samp53	12.35356763
EXP_OUTLIER_ASE	samp53	14.37699681
EXP_OUTLIER_RIVER	samp53	49.20127796
EXP_OUTLIER_HPO	samp53	1.38445154
EXP_OUTLIER_RV	samp53	27.47603834
EXP_OUTLIER_RV_CADD	samp53	5.11182109
EXP_OUTLIER_RV_CADD_HPO	samp53	0
EXP_OUTLIER_PLI	samp54	11.34453782
EXP_OUTLIER_ASE	samp54	8.08823529
EXP_OUTLIER_RIVER	samp54	9.24369748
EXP_OUTLIER_HPO	samp54	11.2394958
