SampleID	OutlierCount	Direction	Cutoff	Cohort	NumGenes
samp159	287	Over	2	DGNControl	14763
samp160	322	Over	2	DGNControl	14763
samp161	322	Over	2	DGNControl	14763
samp162	239	Over	2	DGNControl	14763
samp163	245	Over	2	DGNControl	14763
samp164	270	Over	2	DGNControl	14763
samp165	225	Over	2	DGNControl	14763
samp166	236	Over	2	DGNControl	14763
samp167	221	Over	2	DGNControl	14763
samp168	214	Over	2	DGNControl	14763
samp169	155	Over	2	DGNControl	14763
samp170	154	Over	2	DGNControl	14763
samp171	201	Over	2	DGNControl	14763
samp172	271	Over	2	DGNControl	14763
samp173	253	Over	2	DGNControl	14763
samp174	164	Over	2	DGNControl	14763
samp175	259	Over	2	DGNControl	14763
samp176	224	Over	2	DGNControl	14763
samp177	358	Over	2	DGNControl	14763
samp178	387	Over	2	DGNControl	14763
samp179	165	Over	2	DGNControl	14763
samp180	449	Over	2	DGNControl	14763
samp181	160	Over	2	DGNControl	14763
samp182	143	Over	2	DGNControl	14763
samp183	333	Over	2	DGNControl	14763
samp184	275	Over	2	DGNControl	14763
samp185	483	Over	2	DGNControl	14763
samp186	224	Over	2	DGNControl	14763
samp187	322	Over	2	DGNControl	14763
samp188	449	Over	2	DGNControl	14763
samp189	496	Over	2	DGNControl	14763
samp190	374	Over	2	DGNControl	14763
samp191	298	Over	2	DGNControl	14763
samp192	313	Over	2	DGNControl	14763
samp193	547	Over	2	DGNControl	14763
samp194	202	Over	2	DGNControl	14763
samp195	296	Over	2	DGNControl	14763
samp196	264	Over	2	DGNControl	14763
samp197	298	Over	2	DGNControl	14763
samp198	273	Over	2	DGNControl	14763
samp199	207	Over	2	DGNControl	14763
samp200	151	Over	2	DGNControl	14763
samp201	246	Over	2	DGNControl	14763
samp202	212	Over	2	DGNControl	14763
samp203	166	Over	2	DGNControl	14763
samp204	209	Over	2	DGNControl	14763
samp205	342	Over	2	DGNControl	14763
samp206	246	Over	2	DGNControl	14763
samp207	369	Over	2	DGNControl	14763
samp208	184	Over	2	DGNControl	14763
samp209	469	Over	2	DGNControl	14763
samp210	331	Over	2	DGNControl	14763
samp211	324	Over	2	DGNControl	14763
samp212	520	Over	2	DGNControl	14763
samp213	278	Over	2	DGNControl	14763
samp214	327	Over	2	DGNControl	14763
samp215	212	Over	2	DGNControl	14763
samp216	165	Over	2	DGNControl	14763
samp217	244	Over	2	DGNControl	14763
samp218	305	Over	2	DGNControl	14763
samp219	234	Over	2	DGNControl	14763
samp220	308	Over	2	DGNControl	14763
samp221	235	Over	2	DGNControl	14763
samp222	135	Over	2	DGNControl	14763
samp223	408	Over	2	DGNControl	14763
samp224	183	Over	2	DGNControl	14763
samp225	307	Over	2	DGNControl	14763
samp226	135	Over	2	DGNControl	14763
samp227	280	Over	2	DGNControl	14763
samp228	185	Over	2	DGNControl	14763
samp229	169	Over	2	DGNControl	14763
samp230	208	Over	2	DGNControl	14763
samp231	203	Over	2	DGNControl	14763
samp232	424	Over	2	DGNControl	14763
samp233	467	Over	2	DGNControl	14763
samp234	180	Over	2	DGNControl	14763
samp235	190	Over	2	DGNControl	14763
samp236	313	Over	2	DGNControl	14763
samp237	221	Over	2	DGNControl	14763
samp238	199	Over	2	DGNControl	14763
samp239	115	Over	2	DGNControl	14763
samp240	195	Over	2	DGNControl	14763
samp241	201	Over	2	DGNControl	14763
samp242	255	Over	2	DGNControl	14763
samp243	276	Over	2	DGNControl	14763
samp244	260	Over	2	DGNControl	14763
samp245	238	Over	2	DGNControl	14763
samp246	227	Over	2	DGNControl	14763
samp247	330	Over	2	DGNControl	14763
samp248	243	Over	2	DGNControl	14763
samp249	261	Over	2	DGNControl	14763
samp250	209	Over	2	DGNControl	14763
samp251	146	Over	2	DGNControl	14763
samp252	276	Over	2	DGNControl	14763
samp253	159	Over	2	DGNControl	14763
samp254	273	Over	2	DGNControl	14763
samp255	206	Over	2	DGNControl	14763
samp256	91	Over	2	DGNControl	14763
samp257	188	Over	2	DGNControl	14763
samp258	215	Over	2	DGNControl	14763
samp259	189	Over	2	DGNControl	14763
samp260	246	Over	2	DGNControl	14763
samp261	205	Over	2	DGNControl	14763
samp262	180	Over	2	DGNControl	14763
samp263	263	Over	2	DGNControl	14763
samp264	260	Over	2	DGNControl	14763
samp265	207	Over	2	DGNControl	14763
samp266	189	Over	2	DGNControl	14763
samp267	585	Over	2	DGNControl	14763
samp268	235	Over	2	DGNControl	14763
samp269	297	Over	2	DGNControl	14763
samp270	237	Over	2	DGNControl	14763
samp271	329	Over	2	DGNControl	14763
samp272	94	Over	2	DGNControl	14763
samp273	181	Over	2	DGNControl	14763
samp274	220	Over	2	DGNControl	14763
samp275	322	Over	2	DGNControl	14763
samp276	182	Over	2	DGNControl	14763
samp277	242	Over	2	DGNControl	14763
samp278	203	Over	2	DGNControl	14763
samp279	600	Over	2	DGNControl	14763
samp280	158	Over	2	DGNControl	14763
samp281	332	Over	2	DGNControl	14763
samp282	154	Over	2	DGNControl	14763
samp283	201	Over	2	DGNControl	14763
samp284	198	Over	2	DGNControl	14763
samp285	301	Over	2	DGNControl	14763
samp286	283	Over	2	DGNControl	14763
samp287	207	Over	2	DGNControl	14763
samp288	161	Over	2	DGNControl	14763
samp289	222	Over	2	DGNControl	14763
samp290	234	Over	2	DGNControl	14763
samp291	180	Over	2	DGNControl	14763
samp292	455	Over	2	DGNControl	14763
samp293	365	Over	2	DGNControl	14763
samp294	260	Over	2	DGNControl	14763
samp295	174	Over	2	DGNControl	14763
samp296	360	Over	2	DGNControl	14763
samp297	292	Over	2	DGNControl	14763
samp298	242	Over	2	DGNControl	14763
samp299	187	Over	2	DGNControl	14763
samp300	226	Over	2	DGNControl	14763
samp301	346	Over	2	DGNControl	14763
samp302	263	Over	2	DGNControl	14763
samp303	391	Over	2	DGNControl	14763
samp304	218	Over	2	DGNControl	14763
samp305	177	Over	2	DGNControl	14763
samp306	273	Over	2	DGNControl	14763
samp307	312	Over	2	DGNControl	14763
samp308	404	Over	2	DGNControl	14763
samp309	270	Over	2	DGNControl	14763
samp310	283	Over	2	DGNControl	14763
samp311	297	Over	2	DGNControl	14763
samp312	237	Over	2	DGNControl	14763
samp313	201	Over	2	DGNControl	14763
samp314	428	Over	2	DGNControl	14763
samp315	456	Over	2	DGNControl	14763
samp316	343	Over	2	DGNControl	14763
samp317	265	Over	2	DGNControl	14763
samp318	533	Over	2	DGNControl	14763
samp319	139	Over	2	DGNControl	14763
samp320	131	Over	2	DGNControl	14763
samp321	248	Over	2	DGNControl	14763
samp322	306	Over	2	DGNControl	14763
samp323	223	Over	2	DGNControl	14763
samp324	165	Over	2	DGNControl	14763
samp325	249	Over	2	DGNControl	14763
samp326	239	Over	2	DGNControl	14763
samp327	160	Over	2	DGNControl	14763
samp328	187	Over	2	DGNControl	14763
samp329	327	Over	2	DGNControl	14763
samp330	238	Over	2	DGNControl	14763
samp331	403	Over	2	DGNControl	14763
samp332	222	Over	2	DGNControl	14763
samp333	208	Over	2	DGNControl	14763
samp334	207	Over	2	DGNControl	14763
samp335	151	Over	2	DGNControl	14763
samp336	347	Over	2	DGNControl	14763
samp337	221	Over	2	DGNControl	14763
samp338	425	Over	2	DGNControl	14763
samp339	464	Over	2	DGNControl	14763
samp340	207	Over	2	DGNControl	14763
samp341	380	Over	2	DGNControl	14763
samp342	188	Over	2	DGNControl	14763
samp343	68	Over	2	DGNControl	14763
samp344	260	Over	2	DGNControl	14763
samp345	177	Over	2	DGNControl	14763
samp346	200	Over	2	DGNControl	14763
samp347	233	Over	2	DGNControl	14763
samp348	303	Over	2	DGNControl	14763
samp349	337	Over	2	DGNControl	14763
samp350	274	Over	2	DGNControl	14763
samp351	231	Over	2	DGNControl	14763
samp352	219	Over	2	DGNControl	14763
samp353	171	Over	2	DGNControl	14763
samp354	179	Over	2	DGNControl	14763
samp355	242	Over	2	DGNControl	14763
samp356	216	Over	2	DGNControl	14763
samp357	230	Over	2	DGNControl	14763
samp358	296	Over	2	DGNControl	14763
samp359	418	Over	2	DGNControl	14763
samp360	146	Over	2	DGNControl	14763
samp361	510	Over	2	DGNControl	14763
samp362	229	Over	2	DGNControl	14763
samp363	185	Over	2	DGNControl	14763
samp364	298	Over	2	DGNControl	14763
samp365	227	Over	2	DGNControl	14763
samp366	404	Over	2	DGNControl	14763
samp367	334	Over	2	DGNControl	14763
samp368	388	Over	2	DGNControl	14763
samp369	190	Over	2	DGNControl	14763
samp370	297	Over	2	DGNControl	14763
samp371	172	Over	2	DGNControl	14763
samp372	156	Over	2	DGNControl	14763
samp373	795	Over	2	DGNControl	14763
samp374	161	Over	2	DGNControl	14763
samp375	211	Over	2	DGNControl	14763
samp376	139	Over	2	DGNControl	14763
samp377	245	Over	2	DGNControl	14763
samp378	418	Over	2	DGNControl	14763
samp379	292	Over	2	DGNControl	14763
samp380	191	Over	2	DGNControl	14763
samp381	248	Over	2	DGNControl	14763
samp382	424	Over	2	DGNControl	14763
samp383	242	Over	2	DGNControl	14763
samp384	257	Over	2	DGNControl	14763
samp385	267	Over	2	DGNControl	14763
samp386	202	Over	2	DGNControl	14763
samp387	247	Over	2	DGNControl	14763
samp388	353	Over	2	DGNControl	14763
samp389	192	Over	2	DGNControl	14763
samp390	209	Over	2	DGNControl	14763
samp391	246	Over	2	DGNControl	14763
samp392	351	Over	2	DGNControl	14763
samp393	581	Over	2	DGNControl	14763
samp394	366	Over	2	DGNControl	14763
samp395	286	Over	2	DGNControl	14763
samp396	201	Over	2	DGNControl	14763
samp397	135	Over	2	DGNControl	14763
samp398	116	Over	2	DGNControl	14763
samp399	247	Over	2	DGNControl	14763
samp400	129	Over	2	DGNControl	14763
samp401	285	Over	2	DGNControl	14763
samp402	244	Over	2	DGNControl	14763
samp403	181	Over	2	DGNControl	14763
samp404	252	Over	2	DGNControl	14763
samp405	312	Over	2	DGNControl	14763
samp406	195	Over	2	DGNControl	14763
samp407	347	Over	2	DGNControl	14763
samp408	292	Over	2	DGNControl	14763
samp409	255	Over	2	DGNControl	14763
samp410	135	Over	2	DGNControl	14763
samp411	163	Over	2	DGNControl	14763
samp412	121	Over	2	DGNControl	14763
samp413	232	Over	2	DGNControl	14763
samp414	193	Over	2	DGNControl	14763
samp415	204	Over	2	DGNControl	14763
samp416	349	Over	2	DGNControl	14763
samp417	226	Over	2	DGNControl	14763
samp418	199	Over	2	DGNControl	14763
samp419	281	Over	2	DGNControl	14763
samp420	275	Over	2	DGNControl	14763
samp421	228	Over	2	DGNControl	14763
samp422	172	Over	2	DGNControl	14763
samp423	321	Over	2	DGNControl	14763
samp424	144	Over	2	DGNControl	14763
samp425	119	Over	2	DGNControl	14763
samp426	313	Over	2	DGNControl	14763
samp427	122	Over	2	DGNControl	14763
samp428	260	Over	2	DGNControl	14763
samp429	157	Over	2	DGNControl	14763
samp430	147	Over	2	DGNControl	14763
samp431	239	Over	2	DGNControl	14763
samp432	183	Over	2	DGNControl	14763
samp433	274	Over	2	DGNControl	14763
samp434	179	Over	2	DGNControl	14763
samp435	99	Over	2	DGNControl	14763
samp436	232	Over	2	DGNControl	14763
samp437	92	Over	2	DGNControl	14763
samp438	142	Over	2	DGNControl	14763
samp439	135	Over	2	DGNControl	14763
samp440	142	Over	2	DGNControl	14763
samp441	170	Over	2	DGNControl	14763
samp442	245	Over	2	DGNControl	14763
samp443	286	Over	2	DGNControl	14763
samp444	170	Over	2	DGNControl	14763
