sample	value	filter
samp14	219	RV_10KB_CADD_HPO
samp14	2877	HPO
samp14	663	EXP_OUTLIER
samp14	105	EXP_OUTLIER_PLI
samp14	216	EXP_OUTLIER_ASE
samp14	285	EXP_OUTLIER_RIVER
samp14	78	EXP_OUTLIER_HPO
samp14	166	EXP_OUTLIER_RV
samp14	34	EXP_OUTLIER_RV_CADD
samp14	6	EXP_OUTLIER_RV_CADD_HPO
samp15	1612	RV_10KB_CADD
samp15	1166	RV_10KB_HPO
samp15	229	RV_10KB_CADD_HPO
samp15	1979	HPO
samp15	1096	EXP_OUTLIER
samp15	200	EXP_OUTLIER_PLI
samp15	247	EXP_OUTLIER_ASE
samp15	730	EXP_OUTLIER_RIVER
samp15	85	EXP_OUTLIER_HPO
samp15	499	EXP_OUTLIER_RV
samp15	88	EXP_OUTLIER_RV_CADD
samp15	9	EXP_OUTLIER_RV_CADD_HPO
samp16	974	RV_10KB_CADD
samp16	223	RV_10KB_HPO
samp16	36	RV_10KB_CADD_HPO
samp16	700	HPO
samp16	864	EXP_OUTLIER
samp16	210	EXP_OUTLIER_PLI
samp16	242	EXP_OUTLIER_ASE
samp16	504	EXP_OUTLIER_RIVER
samp16	17	EXP_OUTLIER_HPO
samp16	242	EXP_OUTLIER_RV
samp16	43	EXP_OUTLIER_RV_CADD
samp16	0	EXP_OUTLIER_RV_CADD_HPO
samp17	1098	RV_10KB_CADD
samp17	242	RV_10KB_HPO
samp17	51	RV_10KB_CADD_HPO
samp17	700	HPO
samp17	588	EXP_OUTLIER
samp17	91	EXP_OUTLIER_PLI
samp17	156	EXP_OUTLIER_ASE
samp17	305	EXP_OUTLIER_RIVER
samp17	15	EXP_OUTLIER_HPO
samp17	164	EXP_OUTLIER_RV
samp17	26	EXP_OUTLIER_RV_CADD
samp17	1	EXP_OUTLIER_RV_CADD_HPO
samp18	604	RV_10KB_CADD
samp18	164	RV_10KB_HPO
samp18	39	RV_10KB_CADD_HPO
samp18	700	HPO
samp18	1446	EXP_OUTLIER
samp18	214	EXP_OUTLIER_PLI
samp18	256	EXP_OUTLIER_ASE
samp18	543	EXP_OUTLIER_RIVER
samp18	43	EXP_OUTLIER_HPO
samp18	207	EXP_OUTLIER_RV
samp18	42	EXP_OUTLIER_RV_CADD
samp18	4	EXP_OUTLIER_RV_CADD_HPO
samp19	914	RV_10KB_CADD
samp19	209	RV_10KB_HPO
samp19	32	RV_10KB_CADD_HPO
samp19	700	HPO
