sample	value	filter
samp57	2	EXP_OUTLIER_RV_CADD_HPO
samp58	269	RV_10KB_CADD
samp58	112	RV_10KB_HPO
samp58	40	RV_10KB_CADD_HPO
samp58	2057	HPO
samp58	1490	EXP_OUTLIER
samp58	367	EXP_OUTLIER_PLI
samp58	107	EXP_OUTLIER_ASE
samp58	158	EXP_OUTLIER_RIVER
samp58	169	EXP_OUTLIER_HPO
samp58	46	EXP_OUTLIER_RV
samp58	17	EXP_OUTLIER_RV_CADD
samp58	2	EXP_OUTLIER_RV_CADD_HPO
samp59	393	RV_10KB_CADD
samp59	212	RV_10KB_HPO
samp59	69	RV_10KB_CADD_HPO
samp59	2653	HPO
samp59	975	EXP_OUTLIER
samp59	108	EXP_OUTLIER_PLI
samp59	88	EXP_OUTLIER_ASE
samp59	97	EXP_OUTLIER_RIVER
samp59	86	EXP_OUTLIER_HPO
samp59	49	EXP_OUTLIER_RV
samp59	15	EXP_OUTLIER_RV_CADD
samp59	2	EXP_OUTLIER_RV_CADD_HPO
samp60	2629	RV_10KB_CADD
samp60	1812	RV_10KB_HPO
samp60	454	RV_10KB_CADD_HPO
samp60	2680	HPO
samp60	715	EXP_OUTLIER
samp60	91	EXP_OUTLIER_PLI
samp60	335	EXP_OUTLIER_ASE
samp60	461	EXP_OUTLIER_RIVER
samp60	79	EXP_OUTLIER_HPO
samp60	342	EXP_OUTLIER_RV
samp60	68	EXP_OUTLIER_RV_CADD
samp60	12	EXP_OUTLIER_RV_CADD_HPO
samp61	1752	RV_10KB_CADD
samp61	1697	RV_10KB_HPO
samp61	310	RV_10KB_CADD_HPO
samp61	2986	HPO
samp61	706	EXP_OUTLIER
samp61	97	EXP_OUTLIER_PLI
samp61	387	EXP_OUTLIER_ASE
samp61	421	EXP_OUTLIER_RIVER
samp61	70	EXP_OUTLIER_HPO
samp61	297	EXP_OUTLIER_RV
samp61	47	EXP_OUTLIER_RV_CADD
samp61	8	EXP_OUTLIER_RV_CADD_HPO
samp62	306	RV_10KB_CADD
samp62	129	RV_10KB_HPO
samp62	52	RV_10KB_CADD_HPO
samp62	2401	HPO
samp62	739	EXP_OUTLIER
samp62	108	EXP_OUTLIER_PLI
samp62	84	EXP_OUTLIER_ASE
samp62	80	EXP_OUTLIER_RIVER
samp62	67	EXP_OUTLIER_HPO
samp62	33	EXP_OUTLIER_RV
samp62	15	EXP_OUTLIER_RV_CADD
samp62	0	EXP_OUTLIER_RV_CADD_HPO
samp63	1845	RV_10KB_CADD
samp63	1782	RV_10KB_HPO
samp63	348	RV_10KB_CADD_HPO
samp63	2981	HPO
samp63	618	EXP_OUTLIER
samp63	78	EXP_OUTLIER_PLI
samp63	268	EXP_OUTLIER_ASE
samp63	391	EXP_OUTLIER_RIVER
samp63	67	EXP_OUTLIER_HPO
samp63	255	EXP_OUTLIER_RV
samp63	41	EXP_OUTLIER_RV_CADD
samp63	9	EXP_OUTLIER_RV_CADD_HPO
samp64	3048	RV_10KB_CADD
samp64	1431	RV_10KB_HPO
samp64	366	RV_10KB_CADD_HPO
samp64	2028	HPO
samp64	710	EXP_OUTLIER
samp64	92	EXP_OUTLIER_PLI
samp64	292	EXP_OUTLIER_ASE
samp64	462	EXP_OUTLIER_RIVER
samp64	62	EXP_OUTLIER_HPO
samp64	382	EXP_OUTLIER_RV
samp64	78	EXP_OUTLIER_RV_CADD
samp64	5	EXP_OUTLIER_RV_CADD_HPO
samp65	448	RV_10KB_CADD
samp65	39	RV_10KB_HPO
samp65	13	RV_10KB_CADD_HPO
samp65	467	HPO
samp65	674	EXP_OUTLIER
samp65	98	EXP_OUTLIER_PLI
samp65	66	EXP_OUTLIER_ASE
samp65	62	EXP_OUTLIER_RIVER
samp65	15	EXP_OUTLIER_HPO
samp65	31	EXP_OUTLIER_RV
samp65	17	EXP_OUTLIER_RV_CADD
samp65	1	EXP_OUTLIER_RV_CADD_HPO
samp66	447	RV_10KB_CADD
samp66	100	RV_10KB_HPO
samp66	37	RV_10KB_CADD_HPO
samp66	1332	HPO
samp66	742	EXP_OUTLIER
samp66	98	EXP_OUTLIER_PLI
samp66	73	EXP_OUTLIER_ASE
samp66	54	EXP_OUTLIER_RIVER
samp66	41	EXP_OUTLIER_HPO
samp66	30	EXP_OUTLIER_RV
samp66	15	EXP_OUTLIER_RV_CADD
samp66	3	EXP_OUTLIER_RV_CADD_HPO
samp67	337	RV_10KB_CADD
samp67	210	RV_10KB_HPO
samp67	66	RV_10KB_CADD_HPO
samp67	3154	HPO
samp67	625	EXP_OUTLIER
samp67	68	EXP_OUTLIER_PLI
samp67	66	EXP_OUTLIER_ASE
samp67	61	EXP_OUTLIER_RIVER
samp67	70	EXP_OUTLIER_HPO
samp67	26	EXP_OUTLIER_RV
samp67	8	EXP_OUTLIER_RV_CADD
samp67	1	EXP_OUTLIER_RV_CADD_HPO
samp68	400	RV_10KB_CADD
samp68	179	RV_10KB_HPO
samp68	64	RV_10KB_CADD_HPO
samp68	2365	HPO
samp68	934	EXP_OUTLIER
samp68	108	EXP_OUTLIER_PLI
samp68	91	EXP_OUTLIER_ASE
samp68	91	EXP_OUTLIER_RIVER
samp68	74	EXP_OUTLIER_HPO
samp68	48	EXP_OUTLIER_RV
samp68	22	EXP_OUTLIER_RV_CADD
samp68	6	EXP_OUTLIER_RV_CADD_HPO
samp69	1532	RV_10KB_CADD
samp69	1503	RV_10KB_HPO
samp69	269	RV_10KB_CADD_HPO
samp69	2736	HPO
samp69	977	EXP_OUTLIER
samp69	158	EXP_OUTLIER_PLI
samp69	499	EXP_OUTLIER_ASE
samp69	609	EXP_OUTLIER_RIVER
samp69	117	EXP_OUTLIER_HPO
samp69	418	EXP_OUTLIER_RV
samp69	61	EXP_OUTLIER_RV_CADD
samp69	15	EXP_OUTLIER_RV_CADD_HPO
samp70	386	RV_10KB_CADD
samp70	234	RV_10KB_HPO
samp70	78	RV_10KB_CADD_HPO
samp70	3177	HPO
samp70	808	EXP_OUTLIER
samp70	123	EXP_OUTLIER_PLI
samp70	91	EXP_OUTLIER_ASE
samp70	94	EXP_OUTLIER_RIVER
samp70	93	EXP_OUTLIER_HPO
samp70	40	EXP_OUTLIER_RV
samp70	8	EXP_OUTLIER_RV_CADD
samp70	1	EXP_OUTLIER_RV_CADD_HPO
samp71	314	RV_10KB_CADD
samp71	174	RV_10KB_HPO
samp71	58	RV_10KB_CADD_HPO
samp71	2762	HPO
samp71	802	EXP_OUTLIER
samp71	129	EXP_OUTLIER_PLI
samp71	84	EXP_OUTLIER_ASE
samp71	100	EXP_OUTLIER_RIVER
samp71	93	EXP_OUTLIER_HPO
samp71	35	EXP_OUTLIER_RV
samp71	19	EXP_OUTLIER_RV_CADD
samp71	0	EXP_OUTLIER_RV_CADD_HPO
samp72	2520	RV_10KB_CADD
samp72	1788	RV_10KB_HPO
samp72	427	RV_10KB_CADD_HPO
samp72	2711	HPO
samp72	474	EXP_OUTLIER
samp72	48	EXP_OUTLIER_PLI
samp72	221	EXP_OUTLIER_ASE
samp72	305	EXP_OUTLIER_RIVER
samp72	43	EXP_OUTLIER_HPO
samp72	222	EXP_OUTLIER_RV
samp72	44	EXP_OUTLIER_RV_CADD
samp72	10	EXP_OUTLIER_RV_CADD_HPO
samp73	1961	RV_10KB_CADD
samp73	1745	RV_10KB_HPO
samp73	361	RV_10KB_CADD_HPO
samp73	2859	HPO
samp73	456	EXP_OUTLIER
samp73	48	EXP_OUTLIER_PLI
samp73	222	EXP_OUTLIER_ASE
samp73	282	EXP_OUTLIER_RIVER
samp73	31	EXP_OUTLIER_HPO
samp73	185	EXP_OUTLIER_RV
samp73	32	EXP_OUTLIER_RV_CADD
samp73	4	EXP_OUTLIER_RV_CADD_HPO
samp74	2686	RV_10KB_CADD
samp74	2363	RV_10KB_HPO
samp74	524	RV_10KB_CADD_HPO
samp74	3253	HPO
samp74	106	EXP_OUTLIER
samp74	30	EXP_OUTLIER_PLI
samp74	20	EXP_OUTLIER_ASE
samp74	83	EXP_OUTLIER_RIVER
samp74	11	EXP_OUTLIER_HPO
samp74	67	EXP_OUTLIER_RV
samp74	21	EXP_OUTLIER_RV_CADD
samp74	0	EXP_OUTLIER_RV_CADD_HPO
samp75	563	RV_10KB_CADD
samp75	113	RV_10KB_HPO
samp75	38	RV_10KB_CADD_HPO
samp75	1190	HPO
samp75	650	EXP_OUTLIER
samp75	64	EXP_OUTLIER_PLI
samp75	73	EXP_OUTLIER_ASE
samp75	143	EXP_OUTLIER_RIVER
samp75	31	EXP_OUTLIER_HPO
samp75	42	EXP_OUTLIER_RV
samp75	17	EXP_OUTLIER_RV_CADD
samp75	1	EXP_OUTLIER_RV_CADD_HPO
